category,area_ha,centroid_lon,centroid_lat,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,ecosystem,province,canton,estimated_trees,log_area_ha,width_deg,height_deg,aspect_ratio_deg,rect_area_deg,center_x_utm,center_y_utm,min_x_utm,min_y_utm,max_x_utm,max_y_utm,width_utm,height_utm,aspect_ratio_utm,rect_area_utm,dist_to_ref_center,num_ecosystems,cluster,is_sensitive_ecosystem,operational_mission
MUNICIPAL,14338.01,-78.72729063521038,-2.65920617417965,-78.87910296097402,-2.7994152061799324,-78.57547830944672,-2.5189971421793675,"Arbustal siempreverde montano,Herbazal de paramo y Bosque siempreverde montano alto del Sur de la Coordillera Oriental de los Andes",CANAR,AZOGUES,5735204,9.570669331859987,0.3036246515273006,0.2804180640005649,1.0827571024238007,0.0851418369641318,752691.5755487442,9705843.090406029,735776.9396841566,9690364.83502899,769610.3122390138,9721322.503152084,33833.372554857284,30957.668123094365,1.092891506567207,1047402319.0382812,130076.31002911452,2,1,True,Medium Area - Standard Mission
MUNICIPAL,15681.03,-78.15957355061353,-2.1988577312085864,-78.25096529960659,-2.326335287983213,-78.06818180162047,-2.07138017443396,"Bosque siempreverde montano bajo del Sur de la Coordillera Oriental de los Andes, Bosque siempreverde montano del Sur de la Coordillera Oriental de los Andes",MORONA SANTIAGO,MORONA,6272412,9.66020698052256,0.1827834979861222,0.2549551135492529,0.7169242253063789,0.0466015874839814,815967.1162340982,9756658.270883769,805766.0509818844,9742570.71409398,826169.1688984507,9770747.425121829,20403.11791656632,28176.711027847603,0.7241128283709475,574892757.6021892,163602.3691603493,2,1,False,Medium Area - Standard Mission
MUNICIPAL,33741.31,-79.2692066935179,-3.4309493820868737,-79.39166397820702,-3.563729988042992,-79.14674940882877,-3.298168776130756,"Arbustal semideciduo del sur de los Valles,Arbustal desertico del sur de los Valles, Arbustal siempreverde montano del sur de los Andes",LOJA,SARAGURO,13496524,10.426478181665177,0.2449145693782526,0.2655612119122357,0.9222527894508205,0.0650398098590521,692280.301329905,9620598.614161516,678647.2062253692,9605939.77649924,705917.0115776244,9635257.56663828,27269.80535225512,29317.79013903998,0.9301453221039786,799490430.4498848,176523.88440945686,3,1,False,Medium Area - Standard Mission
MUNICIPAL,16439.91,-78.7594963778139,-2.917590133632143,-78.88731405988595,-3.0287394420953726,-78.63167869574185,-2.806440825168913,"Herbazal de paramo,Bosque siempreverde montano del sur y Arbustal siempreverde",AZUAY,GUALACEO,6575964,9.707467194142692,0.2556353641440978,0.2222986169264595,1.1499638033227295,0.0568273878867248,749054.5310100988,9677267.877248095,734816.1377413891,9665001.338808844,763296.0357056577,9689534.925432986,28479.897964268574,24533.586624141783,1.160853421091001,698714043.7531023,148520.379339273,2,1,True,Medium Area - Standard Mission
MUNICIPAL,174.39,-79.56225083209863,-4.352621678382947,-79.56804467337784,-4.362567614196039,-79.55645699081941,-4.342675742569856,"Bosque siempreverde montano de Catamayo Alamor, Bosque semideciduo montano bajo de Catamayo Alamor",LOJA,CALVAS,69756,5.161294170387103,0.011587682558428,0.0198918716261831,0.5825335188993456,0.0002305006938972,659543.802287647,9518743.296083111,658898.6504298057,9517644.788325928,660188.9678929513,9519841.80418213,1290.317463145591,2197.015856202692,0.5873045747494879,2834847.9260660964,274743.5890062831,2,-1,False,Outlier / Not Recommended
MUNICIPAL,177.33,-79.54569859407074,-4.349334982498901,-79.5528779991485,-4.357901196292583,-79.53851918899298,-4.340768768705218,"Bosque siempreverde montano del Catamayo Alamor,Bosque semideciduo montano bajo del Catamayo Alamor",LOJA,CALVAS,70932,5.178012403510027,0.014358810155528,0.0171324275873647,0.8381071067833176,0.0002460012752303,661381.6573914753,9519103.192537723,660582.9840495624,9518157.543555684,662180.3476958483,9520048.839733578,1597.3636462859577,1891.296177893877,0.8445867257363765,3021087.7589272587,274409.8525182673,2,-1,False,Outlier / Not Recommended
MUNICIPAL,7043.04,-79.11127091502443,-3.529615216017388,-79.18000696124965,-3.6283979793413774,-79.04253486879922,-3.430832452693396,Arbustal siempreverde montano del Sur de los Andes y Herbazal de Páramo,AZUAY,ONA,2817216,8.859795174127408,0.1374720924504231,0.1975655266479812,0.6958303611314647,0.0271597463443678,709810.222585469,9609653.557816016,702150.3667450675,9598744.386945149,717471.3776364967,9620563.006214133,15321.010891429149,21818.619268985465,0.7021989202225467,334283303.4560722,191374.7794020245,1,-1,True,Outlier / Not Recommended
MUNICIPAL,11327.29,-78.22643681167511,-1.9293748566088809,-78.48912109938247,-2.006276493536506,-77.96375252396777,-1.8524732196812552,"Bosque siempreverde montano bajo del Sur de la Coordillera Oriental de los Andes, Bosque siempreverde piemontano de la Coordillera del Condor Kutuku,Herbazal de paramo",MORONA SANTIAGO,PABLO SEXTO,4530916,9.33497013741566,0.5253685754147028,0.1538032738552508,3.4158477828846228,0.0808034068794505,808575.4220585199,9786493.695196304,779317.6304946422,9778030.887471098,170231.97650682396,9794969.436599676,-609085.6539878182,16938.549128578976,-35.95854930456373,-10317027273.585314,152175.2997513695,3,-1,True,Outlier / Not Recommended
MUNICIPAL,4772.22,-78.75767511694906,-2.7483907538990726,-78.87595708358184,-2.845094071041521,-78.6393931503163,-2.651687436756624,"Herbazal del paramo y Bosque siempreverde montano, montano alto del Sur coordillera Oriental de los Andes",AZUAY,PAUTE,1908888,8.470566884418542,0.2365639332655433,0.193406634284897,1.223142799196489,0.0457530341260857,749293.3078639099,9695983.905358704,736117.5959135359,9685311.71389313,762471.503768842,9706656.508743811,26353.907855306054,21344.79485068284,1.234676090337862,562518756.6853067,134547.8013676664,2,1,True,Medium Area - Standard Mission
MUNICIPAL,19482.25,-79.80311958711138,-4.292011133499351,-79.884246530268,-4.468116330322542,-79.72199264395478,-4.115905936676159,"Bosque semideciduo piemontano del Catamayo Alamor, Bosque semideciduo montano bajo del Catamayo Alamor",LOJA,SOZORANGA,7792900,9.877259073606693,0.1622538863132234,0.3522103936463834,0.4606731907390897,0.0571475051690359,632821.4291903866,9525491.075254438,623788.3935964755,9506034.947878886,641857.6130838699,9544947.30859729,18069.21948739444,38912.36071840488,0.4643568047221444,703115986.5935233,269028.9897472761,2,1,False,Medium Area - Standard Mission
PROVINCIAL,63472.81,-80.5052876704361,-2.102159999830388,-80.76755517293682,-2.500504541583932,-80.2430201679354,-1.7038154580768436,"Bosque bajo y Arbustal deciduo de tierras bajas de Jama Zapotillo, Bosque semideciduo de tierras bajas de Jama Zapotillo,Bosque siempreverde estacional piemontano de coordillera costera del Pacifico Ecuatorial",SANTA ELENA,SANTA ELENA,25389124,11.058366904205345,0.5245350050014252,0.7966890835070886,0.6583936132700438,0.4178913124019716,555012.9828411466,9767638.39961509,525840.8972955471,9723615.069519732,584198.3727658135,9811660.103241796,58357.47547026642,88045.03372206353,0.6628139374048732,5138085895.714102,104781.36138612247,3,-1,False,Outlier / Not Recommended
MUNICIPAL,42169.16,-80.24368977544606,-0.215338350776561,-80.3797254551643,-0.3676067128581343,-80.10765409572781,-0.0630699886949876,"Bosque semideciduo de tierras bajas de Jama Zapotillo, Bosque siempreverde estacional de tierras bajas de Jama Zapotillo,Bosque deciduo de tierras bajas de Jama Zapotillo",MANABI,JAMA,16867664,10.649444427168271,0.2720713594364952,0.3045367241631467,0.8933942508600263,0.0828557205414042,584160.262341197,9976196.55331806,569020.9731174352,9959366.01039514,599299.7392268506,9993028.019966217,30278.76610941533,33662.0095710773,0.8994937169594954,1019244114.5755498,196546.3988457759,3,-1,False,Outlier / Not Recommended
MUNICIPAL,88035.86,-79.8918113021918,0.0893975432205806,-80.15880705371147,-0.1162519160087638,-79.62481555067214,0.2950470024499252,"Bosque siempreverde estacional piemontano de Coordillera Costera del Choco, Bosque siempreverde estacional piemontano de Coordillera Costera de Pacifico Ecuatorial",MANABI,PEDERNALES,35214344,11.385499510454778,0.5339915030393314,0.411298918458689,1.298305144448515,0.2196301276662067,623321.2482557257,10009882.975640628,593606.9080999995,9987149.2759,653036.3756682326,10032621.020418284,59429.46756823303,45471.74451828189,1.3069537621178826,2702361566.120212,218950.00473027275,2,-1,False,Outlier / Not Recommended
MUNICIPAL,50512.64,-80.37837850055004,-0.4277846164755876,-80.49317661191004,-0.6355199465246238,-80.26358038919003,-0.2200492864265513,"Bosque semideciduo de tierras bjas de Jama Zapotillo, Bosque deciduo de tierras bajas de Jama Zapotillo, Bosque deciduo de Coordillera Costera del Pacifico Ecuatorial",MANABI,SAN VICENTE,20205056,10.829978880974098,0.2295962227200192,0.4154706600980725,0.5526171742505367,0.0953904942095104,569170.3602953757,9952714.136200711,556394.0479745511,9929753.1554976,581946.7360547428,9975675.918382457,25552.68808019173,45922.76288485527,0.5564274985862865,1173450035.7773125,181646.50338980145,3,-1,False,Outlier / Not Recommended
